1;Kornelia;Lis;98032891767;Oczekuje na oplate;;0
2;Żaneta;Krupa;1290856849;Oczekuje na oplate;;0
3;Antonina;Kaczmarczyk;99123018564;Oczekuje na oplate;;0
4;Anastazja;Przybylska;99070364646;Oczekuje na oplate;;0
5;Andżelika;Ostrowska;99042085685;Oczekuje na oplate;;0
6;Dominika;Jankowska;3231112766;Oczekuje na oplate;;0
7;Alice;Lis;96012726881;Oczekuje na oplate;;0
8;Dagmara;Głowacka;3292749288;Oczekuje na oplate;;0
9;Katarzyna;Górecka;99090239548;Oczekuje na oplate;;0
10;Anatolia;Kowalczyk;3302331641;Oczekuje na oplate;;0
11;Amalia;Chmielewska;96021079882;Oczekuje na oplate;;0
12;Bogda;Andrzejewska;98031871441;Oczekuje na oplate;;0
13;Paulina;Stępień;251751166;Oczekuje na oplate;;0
14;Diana;Głowacka;2302716986;Oczekuje na oplate;;0
15;Wanda;Zakrzewska;96092672562;Oczekuje na oplate;;0
16;Andżelika;Sokołowska;97012176584;Oczekuje na oplate;;0
17;Aisha;Jakubowska;211744865;Oczekuje na oplate;;0
18;Marysia;Woźniak;2211413561;Oczekuje na oplate;;0
19;Milena;Dąbrowska;98062388622;Oczekuje na oplate;;1
20;Anatolia;Czarnecka;98031163328;Oczekuje na oplate;;0
21;Bogumiła;Andrzejewska;3211311743;Oczekuje na oplate;;0
22;Julita;Mróz;97040225641;Oczekuje na oplate;;0
23;Zofia;Sikora;99090194643;Oczekuje na oplate;;0
24;Alisa;Szymańska;2252954562;Oczekuje na oplate;;0
25;Bogna;Kołodziej;98031466469;Oczekuje na oplate;;0
26;Natalia;Szewczyk;230172887;Oczekuje na oplate;;0
27;Beata;Jaworska;96081857664;Oczekuje na oplate;;0
28;Malwina;Mazurek;3311328241;Oczekuje na oplate;;0
29;Magdalena;Szczepańska;97011934822;Oczekuje na oplate;;0
30;Kamila;Witkowska;3301659487;Oczekuje na oplate;;0
31;Edyta;Sikora;96072333742;Oczekuje na oplate;;0
32;Amalia;Kowalczyk;96090214645;Oczekuje na oplate;;0
33;Otylia;Zawadzka;97041272741;Oczekuje na oplate;;0
34;Florentyna;Michalak;98112477463;Oczekuje na oplate;;0
35;Krystyna;Szczepańska;2230434486;Oczekuje na oplate;;0
36;Aniela;Krupa;96100933568;Oczekuje na oplate;;0
37;Paulina;Krajewska;99050855821;Oczekuje na oplate;;0
38;Żaneta;Sawicka;97123174844;Oczekuje na oplate;;0
39;Karolina;Górecka;98040444326;Oczekuje na oplate;;0
40;Jagoda;Woźniak;2281297487;Oczekuje na oplate;;0
41;Stefania;Zawadzka;1222018622;Oczekuje na oplate;;0
42;Amalia;Stępień;2240326984;Oczekuje na oplate;;0
43;Helena;Woźniak;1250437743;Oczekuje na oplate;;0
44;Oktawia;Wojciechowska;97030126682;Oczekuje na oplate;;0
45;Paula;Krajewska;99020633284;Oczekuje na oplate;;0
46;Aisha;Kamińska;96111697286;Oczekuje na oplate;;0
47;Łucja;Włodarczyk;1240932667;Oczekuje na oplate;;0
48;Malwina;Pawlak;2262788685;Oczekuje na oplate;;0
49;Matylda;Gajewska;96070979966;Oczekuje na oplate;;0
